Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",CP_Radial_D8.0mm_P3.50mm,4,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D8, D9",Diode_DO-35,50,Diode,
D26,LED_D3.0mm,1,LED_C4,
D27,LED_D3.0mm,1,LED_C#4,
D28,LED_D3.0mm,1,LED_D4,
D29,LED_D3.0mm,1,LED_D#4,
D30,LED_D3.0mm,1,LED_E4,
D31,LED_D3.0mm,1,LED_F4,
D32,LED_D3.0mm,1,LED_F#4,
D33,LED_D3.0mm,1,LED_G4,
D34,LED_D3.0mm,1,LED_G#4,
D35,LED_D3.0mm,1,LED_A4,
D36,LED_D3.0mm,1,LED_A#4,
D37,LED_D3.0mm,1,LED_B4,
"D38, D50",LED_D3.0mm,2,LED_C5,
D39,LED_D3.0mm,1,LED_C#5,
D40,LED_D3.0mm,1,LED_D5,
D41,LED_D3.0mm,1,LED_D#5,
D42,LED_D3.0mm,1,LED_E5,
D43,LED_D3.0mm,1,LED_F5,
D44,LED_D3.0mm,1,LED_F#5,
D45,LED_D3.0mm,1,LED_G5,
D46,LED_D3.0mm,1,LED_G#5,
D47,LED_D3.0mm,1,LED_A5,
D48,LED_D3.0mm,1,LED_A#5,
D49,LED_D3.0mm,1,LED_B5,
D76,D_SMA,1,SS14,
DB1,Dev_Board_T113,1,Dev Board,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB_C_Receptacle_PowerOnly_24P,
"R1, R2, R3, R31, R32, R33, R4, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,25,220,
"R34, R35",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,5.1K,
S1,MX_PCB_1.00u,1,Nota_C4,
S10,MX_PCB_1.00u,1,Nota_A4,
S11,MX_PCB_1.00u,1,Nota_A#4,
S12,MX_PCB_1.00u,1,Nota_B4,
S13,MX_PCB_1.00u,1,Nota_C5,
S14,MX_PCB_1.00u,1,Nota_C#5,
S15,MX_PCB_1.00u,1,Nota_D5,
S16,MX_PCB_1.00u,1,Nota_D#5,
S17,MX_PCB_1.00u,1,Nota_E5,
S18,MX_PCB_1.00u,1,Nota_F5,
S19,MX_PCB_1.00u,1,Nota_F#5,
S2,MX_PCB_1.00u,1,Nota_C#4,
S20,MX_PCB_1.00u,1,Nota_G5,
S21,MX_PCB_1.00u,1,Nota_G#5,
S22,MX_PCB_1.00u,1,Nota_A5,
S23,MX_PCB_1.00u,1,Nota_A#5,
S24,MX_PCB_1.00u,1,Nota_B5,
S25,MX_PCB_1.00u,1,Nota_C6,
S26,SW_PUSH_6mm_H5mm,1,SW_Izquierda,
S27,SW_PUSH_6mm_H5mm,1,SW_Enter,
S28,SW_PUSH_6mm_H5mm,1,SW_Derecha,
S3,MX_PCB_1.00u,1,Nota_D4,
S4,MX_PCB_1.00u,1,Nota_D#4,
S5,MX_PCB_1.00u,1,Nota_E4,
S6,MX_PCB_1.00u,1,Nota_F4,
S7,MX_PCB_1.00u,1,Nota_F#4,
S8,MX_PCB_1.00u,1,Nota_G4,
S9,MX_PCB_1.00u,1,Nota_G#4,
"U1, U3, U4",DIP-16_W7.62mm_Socket_LongPads,3,74HC595,
U2,DIP-16_W7.62mm_Socket_LongPads,1,74HC165,
U5,SPI_Screen,1,SPI Screen,
